LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-05-06 10:30:09,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:10,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:10,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:23,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:23,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:28,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:28,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:29,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:29,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:30,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:31,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:35,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:35,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:36,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:40,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:40,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:42,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:43,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:44,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:44,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:45,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:47,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-05-06 10:30:59,1900-01-00 00:00:00,OPPO Reno8 T,46:3A:1E:12:17:11,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
